"goal","score","status","future","trend","pressures","resilience"
"Index",72,,68,,,
"NP",36,36,35,-0.09,50,60
"AO",92,85,100,0.32,32,58
"FP",90,80,100,0.31,,
"MAR",0,0,0,0,34,44
"FIS",90,80,100,0.31,34,56
"BD",78,87,69,-0.38,,
"SPP",77,83,72,-0.26,39,50
"HAB",78,91,66,-0.49,36,54
"CW",74,75,73,0.11,76,44
"SP",54,57,52,-0.17,,
"LSP",48,48,49,0.02,45,44
"ICO",60,66,54,-0.36,38,57
"LE",66,78,53,-0.5,,
"ECO",79,79,79,-0.04,36,47
"LIV",52,77,27,-0.96,36,35
"TR",97,100,93,0,66,44
"CP",76,80,73,-0.15,48,52
"CS",56,82,31,-1,39,52
